epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9718,2.09776,4.63033,3.26992,1.61531,0,0.01954,0.24745,0.0169,0.00565,0.01195,0.15138,0.0031,0.00093,1.91762,4.16014,3.35343,1.35783,0,0.00032,0.00032,0.00032
2,130.948,2.00138,3.9938,2.83175,1.45837,0,0.0254,0.32169,0.02525,0.01055,0.01874,0.23726,0.01639,0.00617,2.11151,4.44571,3.34865,1.44318,0,0.000653466,0.000653466,0.000653466
3,198.812,2.09893,4.10608,2.45687,1.50453,0,0.02517,0.31878,0.02805,0.01279,0.01333,0.16885,0.00344,0.00094,2.08471,4.71373,3.1794,1.47118,0,0.0009802,0.0009802,0.0009802
4,266.135,2.06109,3.94536,2.14684,1.45866,0,0.03414,0.05677,0.00606,0.00193,0.00759,0.09607,0.00148,0.00065,2.28979,5.33093,3.24402,1.68525,0,0.0013002,0.0013002,0.0013002
5,337.846,2.18239,4.02975,2.19778,1.62565,0,0.04553,0.09025,0.00881,0.00324,0.01231,0.09461,0.00149,0.00061,2.13916,4.4439,3.02284,1.55925,0,0.00161347,0.00161347,0.00161347
6,411.326,2.17367,4.02528,1.91491,1.56018,0,0.04175,0.39301,0.02092,0.00756,0.01995,0.24891,0.00697,0.00243,2.1405,4.51007,3.06269,1.61444,0,0.001901,0.001901,0.001901
7,478.195,2.11949,4.15532,2.09028,1.55154,0,0.04547,0.34498,0.02115,0.00834,0.02651,0.25036,0.00798,0.00232,2.14265,4.59038,7.289,1.55182,0,0.0018812,0.0018812,0.0018812
8,544.093,2.01871,3.97709,2.07165,1.52137,0,0.06457,0.32606,0.03026,0.01234,0.04581,0.25036,0.0157,0.00466,2.10545,4.51676,22.6324,1.64263,0,0.0018614,0.0018614,0.0018614
9,609.407,2.01622,3.95387,1.96114,1.52407,0,0.10989,0.34352,0.05439,0.02194,0.07992,0.24745,0.02785,0.00827,2.091,5.06788,6.77252,1.58524,0,0.0018416,0.0018416,0.0018416
10,671.938,2.03205,3.84458,2.02155,1.48489,0,0.34797,0.2913,0.22112,0.09199,0.32914,0.24017,0.1586,0.05711,2.10464,4.54862,2.39713,1.51897,0,0.0018218,0.0018218,0.0018218
